Date,Close,High,Low,Open,Volume
2021-01-04,340.0093994140625,346.4325336581142,336.0142913916523,346.3067750779154,4638400
2021-01-05,336.0724182128906,341.4701486499912,334.15707927286206,337.4073192090089,2990700
2021-01-06,336.1981201171875,342.4664774426378,333.30579057820785,338.9744034058841,3966800
2021-01-07,338.86163330078125,341.29273729778714,337.4281781476007,337.9802664714028,3100200
2021-01-08,342.7262268066406,343.82070837532575,338.50327425083225,340.31448340614037,3371500
2021-01-11,337.2538757324219,342.30977918242917,336.85676108778296,341.04093360368586,2403000
2021-01-12,332.13983154296875,337.0601214598138,325.46641437554854,336.16902997217926,4858100
2021-01-13,335.4424743652344,338.76466854916345,333.40851532626886,338.61936042506363,4125700
2021-01-14,316.6524963378906,338.5904563600305,316.42005052834713,337.72845011082956,8712200
2021-01-15,313.0978698730469,319.32572654961524,311.76124741381886,317.2433207805955,7911500
2021-01-19,315.693603515625,318.78332358191915,314.45384336312736,316.7105834123142,4625200
2021-01-20,324.3815612792969,327.3066120111035,318.78326619190267,319.61621650084186,5081000
2021-01-21,323.9263916015625,326.2702988079431,321.32095332299775,323.89733587778795,3484900
2021-01-22,318.6476745605469,324.61402885849145,318.5702024914716,320.0036870141513,3846600
2021-01-25,318.84136962890625,319.57748722909474,307.2573603090428,317.21419030468616,6257700
2021-01-26,317.39825439453125,320.1489710456001,315.57735037918167,319.62593850629077,3503100
2021-01-27,305.5721130371094,312.8460349492009,303.2766220920287,310.2890129214254,7449400
2021-01-28,314.08575439453125,318.6573750610177,311.85807028273854,316.8074153244685,6906400
2021-01-29,306.34698486328125,315.44178156468973,302.55989769539343,313.6208772938675,7627200
2021-02-01,311.45123291015625,313.34960882697476,307.59634008113767,310.82167263530505,4930700
2021-02-02,323.8586120605469,325.5923492122065,313.2819139098392,313.2819139098392,5686000
2021-02-03,322.35736083984375,325.43738615051046,320.66237445364317,323.3452851211283,4036800
2021-02-04,330.11553955078125,332.45947661585893,324.5269378681458,324.82719023837825,4537500
2021-02-05,328.1009216308594,333.50549354834476,326.7836893142479,331.75239578561644,2964800
2021-02-08,326.4349365234375,330.75472120968703,324.9820913566611,329.3115711359832,2652800
2021-02-09,322.9578857421875,325.65049167295115,319.6260242160056,325.38899011227863,2993300
2021-02-10,323.70355224609375,324.9239515382328,321.8051763369281,324.46872557673714,4246300
2021-02-11,332.0914001464844,338.600148786349,329.5537682182476,334.63872716944763,5110800
2021-02-12,330.28021240234375,332.3335626592253,326.11540043287397,330.5998254087303,3025100
2021-02-16,330.4835205078125,333.18582076062927,327.4422467002086,332.4109818379584,2916900
2021-02-17,326.72552490234375,329.67966142486637,325.28237469096683,328.3817898323842,2267000
2021-02-18,327.82000732421875,329.2631870977529,322.37668496118846,323.9748088898248,2393700
2021-02-19,322.6963195800781,328.34303187184764,320.59452374507833,327.8006386676308,4095800
2021-02-22,329.9508361816406,333.30205752113403,318.434602302435,319.62594601490116,4940300
2021-02-23,339.404052734375,343.14269385535596,327.7715950218158,329.9411679186249,6326600
2021-02-24,355.7727966308594,357.19658633714323,339.549355966744,341.7770404734555,7467400
2021-02-25,343.42364501953125,355.77283243964825,341.1378192718867,353.09958711595755,5207500
