Date,Close,High,Low,Open,Volume
2020-01-02,296.125244140625,296.1434923281095,293.99229250686125,294.91293581934144,59151200
2020-01-03,293.883056640625,295.00423583561826,292.6889681125446,292.74365706670307,77709700
2020-01-06,295.004150390625,295.0861837981025,292.01434006994486,292.1328420420894,55653900
2020-01-07,294.17474365234375,294.9130723359084,293.72808011259553,294.43906431963455,40496400
2020-01-08,295.7424621582031,296.95477064555246,294.11995883928836,294.3660590478099,68296000
2020-01-09,297.747802734375,297.8207398631898,296.7177813744384,297.3011671355,48473300
2020-01-10,296.8909606933594,298.4861195611985,296.42610473911026,298.33117684890317,53029300
2020-01-13,298.9327697753906,298.94186605271307,297.082386683004,297.510801872737,47086800
2020-01-14,298.4770202636719,299.54348231822837,297.9209789989077,298.49524063629786,62832800
2020-01-15,299.1514892578125,299.9080379561586,298.3037830757557,298.3858164658878,72056600
2020-01-16,301.6400146484375,301.6400146484375,300.30008000636747,300.52795985830204,54050300
2020-01-17,302.5788879394531,302.7885196066415,301.57621099627295,302.3510080804288,95846000
2020-01-21,301.9862976074219,302.7884389482875,301.5487861977557,301.62169549358066,77742400
2020-01-22,302.0228271484375,303.49038781097767,301.8678844320141,302.84318902456715,48914900
2020-01-23,302.36920166015625,302.77939649699647,300.2635941747511,301.3756489009387,51963000
2020-01-24,299.6802673339844,303.10758968515563,298.39502145229517,303.0255562651374,87578400
2020-01-27,294.8764953613281,296.3531521856209,294.1108224827082,294.4480801750021,84062500
2020-01-28,297.96661376953125,298.8416646744203,294.9677069156235,296.2985175568416,63834000
2020-01-29,297.720458984375,299.5526218615138,297.5199236056963,299.32474201380455,53888900
2020-01-30,298.6866760253906,298.89633550564963,294.9130001022843,295.66042488337473,75491800
2020-01-31,293.2630920410156,298.22175888029057,292.3515728105219,298.06678837146853,113845600
2020-02-03,295.441650390625,297.30115767312014,294.6212885304359,294.73979049796515,69083000
2020-02-04,299.9445495605469,300.81050405404096,298.7231169921296,299.04215432222543,62573200
2020-02-05,303.40826416015625,303.61792358805616,301.41206272649225,302.8704711762649,65951100
2020-02-06,304.4292297363281,304.6206410029242,303.35361580732535,304.3654167083422,50359700
2020-02-07,302.80670166015625,304.4383010658972,302.2597845544811,303.37183913632214,64139400
2020-02-10,305.06732177734375,305.1311348147873,301.88612780958465,301.9225963763189,42070000
2020-02-11,305.5959777832031,307.2002328793031,305.0672809970112,306.41633961218275,54864500
2020-02-12,307.5649108886719,307.7745425630313,306.66248770025715,307.02708992369514,43992700
2020-02-13,307.2367858886719,308.2029944132998,305.86950652543953,306.1429512711381,54501900
2020-02-14,307.72900390625,307.84750589786006,306.4528821069279,307.6469704852974,64582200
2020-02-18,306.93585205078125,307.79268227342084,305.5503251457351,306.7353167259644,57226200
2020-02-19,308.4035339355469,309.07804952882344,307.61964044253574,307.90220928930677,48814700
2020-02-20,307.1364440917969,308.67691395841035,304.15575813081296,307.8565243216202,74163400
2020-02-21,303.9734802246094,306.09730805211063,303.1530905628107,305.78739481387316,113788200
2020-02-24,293.8921203613281,304.04643281297626,292.81650624331786,294.5484154937722,161088400
2020-02-25,284.98651123046875,295.8882745622072,284.1114604678439,295.27757219253857,218913200
2020-02-26,283.938232421875,289.9633610159589,283.2090281846531,286.3810972156628,194773800
2020-02-27,271.1861267089844,283.9929622601153,271.1861267089844,278.43268874388383,284353500
2020-02-28,270.0467224121094,271.5325033532073,260.27523419743306,263.155638584235,384975800
2020-03-02,281.741455078125,281.80526809577424,268.40592525729664,271.8241221224841,238703600
2020-03-03,273.6745300292969,286.07119736155244,271.24078921564694,282.11520716459734,300139100
2020-03-04,285.1778869628906,285.3966704893052,276.4911099959197,279.03425638312916,176613400
2020-03-05,275.6981201171875,281.1763600202487,273.4649145191371,277.9951665598652,186366800
2020-03-06,271.1404724121094,272.34368433894815,264.5502069103932,267.2118271902237,228667200
2020-03-09,249.9659423828125,259.04466663052983,249.2549584564978,250.94124687205388,309417300
2020-03-10,262.9005126953125,262.99164240745563,249.30062712234025,259.45496949165477,276444100
2020-03-11,250.0843963623047,256.99372753135424,246.91232732401264,255.86345261585788,255316300
2020-03-12,226.15701293945312,243.06569566035535,225.76505247924013,233.34889835184046,392220700
2020-03-13,245.49046325683594,247.45934891414748,226.53085295661577,239.81168618296002,329566100
2020-03-16,218.62789916992188,234.1692913616769,216.35821121478764,219.84020754106757,297240000
2020-03-17,230.43209838867188,233.50392810842425,216.09390266325667,223.35869921057358,262070500
2020-03-18,218.76463317871094,226.39404531004064,207.84463580030425,215.34643578529358,327597100
2020-03-19,219.22950744628906,225.49165465544974,211.6730183757266,218.08099810602204,289322000
2020-03-20,209.78201293945312,224.149511692918,209.50694631687315,222.37076338943308,347158800
2020-03-23,204.4182586669922,210.58885308857097,200.1180920586079,209.22271174158334,326025200
2020-03-24,222.939208984375,223.81025556170377,214.3663954320049,214.9348561536564,235494500
2020-03-25,226.2766571044922,235.04203577073906,219.82183239457268,224.51625036542322,299430300
2020-03-26,239.4888458251953,240.95583008444927,228.34875572804918,228.77969004896113,257632800
2020-03-27,232.3555145263672,239.13125094392717,230.18251539899777,232.2179882488624,224341200
2020-03-30,239.9014892578125,240.61665407010992,232.45643301160396,234.44605962945386,171369500
2020-03-31,236.3256378173828,241.44181196172076,234.92281361805342,238.90206639274638,194881100
2020-04-01,225.68983459472656,236.24312431481496,223.62685616519354,227.36772539626958,189554600
2020-04-02,230.8977508544922,231.67708998353663,224.2595386780604,224.80967193777292,177660400
2020-04-03,227.56031799316406,232.26391415318625,224.83718484688495,229.9166909570072,135561200
2020-04-06,242.8446502685547,244.80678550079665,227.5419457283824,236.40816732964865,188061200
2020-04-07,243.09219360351562,252.16929234238347,242.87215154323118,251.41744466183374,201427200
2020-04-08,251.25244140625,253.0586948036147,243.20224201687972,245.6869771638037,153774500
2020-04-09,255.07591247558594,257.8265512385249,252.57282112817146,254.50742362725188,189999200
2020-04-13,252.74696350097656,254.44319588474661,248.8502262862596,254.10395500418002,114839100
2020-04-14,260.2011413574219,261.2188637812924,252.60938312795597,257.6247131889089,134143400
2020-04-15,254.67245483398438,260.3387633386726,252.56361522887224,254.49824549327255,121775000
2020-04-16,255.9010467529297,256.75373788155946,252.83867290726175,255.94687953066466,131798300
2020-04-17,262.8142395019531,263.4193550866855,258.9266530783905,261.658962878332,146684800
2020-04-20,258.1841125488281,262.95189746439894,257.9640704078135,259.11931962908403,100109300
2020-04-21,250.34474182128906,254.929138502849,249.4095069904513,253.72802881075526,126385700
2020-04-22,255.9010467529297,257.64311202094046,253.89307862361522,255.21338720127235,92951600
2020-04-23,255.8826904296875,260.33873886010645,255.58013253954968,257.17549374033564,104709700
2020-04-24,259.44927978515625,260.1186116006174,255.3508290930433,257.39547955712044,85063200
2020-04-27,263.19024658203125,264.30884067979105,260.9622361353189,261.42067588061485,77896600
2020-04-28,261.9800109863281,267.1787025062263,261.677425057309,266.8302837908438,105270000
2020-04-29,268.8382263183594,270.36942737195216,266.27097494933463,267.2978754969445,118745600
2020-04-30,266.3350830078125,268.9390166066362,264.6021678699744,267.4628265283742,122901700
2020-05-01,259.2843017578125,266.5001372793607,258.1198471539412,261.5948274910563,125180000
2020-05-04,259.99951171875,260.3020696248995,255.92856473218876,257.40472721224256,80873200
2020-05-05,262.4016418457031,265.20728975991784,260.12777151810104,262.814248648765,79569900
2020-05-06,260.62298583984375,264.48304052192884,260.1920513755059,264.09796681903833,73632600
2020-05-07,263.7679138183594,265.6933665541511,263.2636412360793,263.8321021051062,75250400
2020-05-08,268.1322021484375,268.5998195757135,265.7666377314456,266.8944094168429,76452400
2020-05-11,268.1872253417969,269.56254444611375,265.7850057832069,266.20676247386785,79514200
2020-05-12,262.8418273925781,269.7825831185984,262.7042730991444,269.37000418111256,95870800
2020-05-13,258.1932678222656,263.3186207708161,255.77269255804435,262.2825424788248,144721100
2020-05-14,261.2830505371094,261.4113990670636,250.29882832927197,255.76344816859944,121977900
2020-05-15,262.4842529296875,262.53008571070245,257.954866120157,258.89925085277906,111146300
2020-05-18,270.4794006347656,272.08393945209053,268.3705893815132,268.6914747602291,119703800
2020-05-19,267.7012634277344,271.58882289589167,267.6829359139752,269.88344074536735,95189300
2020-05-20,272.2489318847656,273.1108005640989,271.0019896139452,271.2312094120459,85861700
2020-05-21,270.3694152832031,272.92751677002803,269.278326504917,272.1206583812847,78293900
2020-05-22,270.8829040527344,271.05711341057327,268.8474302756722,270.0852232989164,63958200
2020-05-26,274.22021484375,277.07172366444183,270.90111666487996,276.833326122004,88951400
2020-05-27,278.30035400390625,278.3370370080894,272.1939349208289,277.0075509205538,104817400
2020-05-28,277.7869567871094,281.3352756373356,277.1176247426951,279.32730748503195,90405200
2020-05-29,279.0246887207031,279.6114768667384,274.57781894297864,277.3192788350179,119090800
2020-06-01,280.15252685546875,280.7576706979194,277.8695057987693,278.38295609279857,55758300
2020-06-02,282.47216796875,282.51802872321025,279.739885508997,281.06934373149255,74267200
2020-06-03,286.23138427734375,287.18494662104723,284.1775835194625,284.45263612777273,92567600
2020-06-04,285.47955322265625,286.9832488519643,283.38906933428206,285.2503333753304,75794400
2020-06-05,292.79620361328125,294.56577377345707,290.7974136505666,290.8616019107014,150524700
2020-06-08,296.3353271484375,296.5278639188232,293.0620621472375,293.60301744179736,73641200
2020-06-09,294.125732421875,296.40875303318035,292.814573695221,293.67644251654445,77479200
2020-06-10,292.4845886230469,295.5928238577627,291.76942366351983,294.7034495380097,95000800
2020-06-11,275.6230773925781,286.20387252008595,275.0729721884442,285.5712235543959,209243600
2020-06-12,278.923828125,283.3890255846192,273.78014897594073,282.6188503742168,194678900
2020-06-15,281.52783203125,282.65560386034076,272.07480686820895,273.24841147874247,135782700
2020-06-16,286.94659423828125,289.4038525103005,282.0963219351536,289.2571484357814,137627500
2020-06-17,285.75457763671875,288.2576679504427,285.0210574809537,287.96425988813667,83398900
2020-06-18,285.8646545410156,286.3414217497539,283.7833484028866,284.2417880969982,80828700
2020-06-19,284.23095703125,289.5169952642536,282.2878135586834,289.323611161699,135549600
2020-06-22,286.0543212890625,286.45030759053503,282.490388367676,283.6323128106449,74649400
2020-06-23,287.37127685546875,289.627527981212,286.9660723422408,288.6973956071107,68471200
2020-06-24,280.0408020019531,285.9530836646762,278.2081916960514,285.3360587710118,132813500
2020-06-25,283.04296875,283.3100417218154,277.45301313177083,279.46981736237365,89468000
2020-06-26,276.3202209472656,282.1588401533544,275.74006876304765,281.94701982624827,127961000
2020-06-29,280.3815002441406,280.51963173893165,275.2888463730119,277.5727234684733,79773300
2020-06-30,283.9731140136719,285.66762102118946,279.7921834155964,279.94872310498295,113394800
2020-07-01,285.96234130859375,287.2240176966897,284.62703223529496,285.08748945451765,72396500
2020-07-02,287.53704833984375,290.7326217108491,286.8739889973159,289.38806675534465,69344200
2020-07-06,291.97589111328125,292.5560716657089,290.6037376889581,291.34967608377184,61713800
2020-07-07,288.9644775390625,292.4086879039096,288.5868993171508,290.4379459868934,82910000
2020-07-08,291.1746520996094,291.28515730964824,287.9698885921955,289.7288100254336,54638600
2020-07-09,289.5169372558594,292.0218243686505,286.10954433852584,291.7823777440841,83354200
2020-07-10,292.4731140136719,292.74018697945144,288.02511114921197,289.45251680342045,57550400
2020-07-13,289.9405822753906,297.18817150586733,289.28674115516975,294.8122255722936,102997500
2020-07-14,293.6979675292969,294.4715320808562,287.32522893206374,288.522406144319,93657000
2020-07-15,296.3962707519531,297.4921610086868,294.0202961383002,296.91198050758385,87196500
2020-07-16,295.4200134277344,295.87125229977755,293.8544483675677,294.4990994168282,54622500
2020-07-17,296.2765197753906,297.0593024720893,294.45309952821765,296.4238694209868,62774900
2020-07-20,298.6708679199219,299.4168060932532,295.2634745052949,296.0094126786261,56308800
2020-07-21,299.30633544921875,301.0744749886083,298.32095050262376,300.63245415579655,57292200
2020-07-22,301.0099792480469,301.32311478404205,298.83663538971115,298.94714058873586,57792900
2020-07-23,297.4183654785156,301.35068608523807,296.055430800531,300.6507824803938,75738000
2020-07-24,295.5029296875,296.5251308789289,294.00183516323403,295.5674004213925,73766600
2020-07-27,297.6578063964844,297.8327822943415,295.40155598984086,296.1935565965724,48293000
2020-07-28,295.76995849609375,298.04461717526414,295.4752592743561,296.93029101258077,57495000
2020-07-29,299.4075927734375,299.9693649980808,296.60800599281623,296.64485042658015,48454200
2020-07-30,298.3393859863281,298.7538086591065,294.3610576063959,296.44230479428404,61861700
2020-07-31,300.6969909667969,300.7983061754281,295.9174424866092,300.12602847621383,84986800
2020-08-03,302.7873840332031,303.551730444188,301.8112172413089,302.35455324026356,53077900
2020-08-04,303.9569396972656,303.9569396972656,301.93091720834786,301.93091720834786,41917900
2020-08-05,305.8447265625,306.1026094552458,304.98828331124287,305.25535623296946,42697700
2020-08-06,307.8891906738281,308.00891400036295,304.9422824929676,305.2646080403921,43679400
2020-08-07,308.1101989746094,308.3956800618827,306.0197062402385,306.92221206378724,57308300
2020-08-10,309.0312194824219,309.2153854806249,306.6276185368531,308.56154419446693,44282100
2020-08-11,306.4801330566406,310.8452840303046,305.75263131441477,310.20985119434204,69601100
2020-08-12,310.7532958984375,311.52686046889016,308.88384116049235,308.91146746286313,53774400
2020-08-13,310.1914367675781,311.4991469565095,309.270522807618,309.98883457222433,41816100
2020-08-14,310.2007141113281,310.734860048338,309.0771977415584,309.80472777793506,47260400
2020-08-17,311.1860656738281,311.5820519648369,310.2098990427494,311.2136919707807,35481000
2020-08-18,311.8583068847656,312.2819194236177,309.9888246261284,311.58201584320426,38733900
2020-08-19,310.5599365234375,312.7516889289628,309.998164191715,312.23597917424223,68054200
2020-08-20,311.52685546875,312.0057207368476,308.7088602558769,308.8377736301808,42207800
2020-08-21,312.6319580078125,312.85296841916903,310.85457226958493,311.1953341258538,55106600
2020-08-24,315.7998962402344,315.87355700727335,312.604322979584,315.0631480494956,48588700
2020-08-25,316.90496826171875,316.9878471615432,315.2012714878101,316.36163229349035,38463400
2020-08-26,320.0821228027344,320.34916765874164,316.9510204608459,317.4943564112972,50790200
2020-08-27,320.7820739746094,322.227916207643,319.1244394337551,320.94785991195465,58034100
2020-08-28,322.8539733886719,322.98291482090434,320.61615942116055,321.80414618704947,48588900
2020-08-31,321.68450927734375,323.51711938437126,321.4542807471516,322.64226783208227,66099200
2020-09-01,324.7142639160156,324.81555096041706,321.6199784344271,322.5132660887835,54908700
2020-09-02,329.4110107421875,330.37795938167653,325.4786892390397,326.6206419236981,69540000
2020-09-03,318.0745544433594,328.19539204398836,315.4959779391516,327.72571683022153,148011100
2020-09-04,315.4775695800781,320.32155893623025,308.3865193279406,318.7560217314167,139156300
2020-09-08,306.8577880859375,315.54202965407626,306.55389879011744,310.0809875272591,114465300
2020-09-09,312.91741943359375,315.37624441716423,309.98889114735533,310.8545526760322,91462300
2020-09-10,307.4840393066406,315.4407229555937,306.5262807206502,314.78688177765224,90569500
2020-09-11,307.6405029296875,310.3203658186332,304.82250857307713,309.261320427787,84680200
2020-09-14,311.69256591796875,313.46073328485505,307.78789928384793,310.7992781526269,65605700
2020-09-15,313.2673645019531,314.97103311859536,311.70179927663685,314.1422160421619,52920900
2020-09-16,312.0240478515625,315.92871371302925,311.7477568248734,314.50130843935,82096000
2020-09-17,309.2798156738281,310.9927306673699,306.65520463292705,307.1801324619214,91523300
2020-09-18,305.71923828125,310.19430261216667,303.2413149951069,310.0833550346641,105877900
2020-09-21,302.3166809082031,302.46462040076045,297.4717824473857,301.1424482202814,99450800
2020-09-22,305.3955383300781,305.95030428150574,301.29030979270976,303.79599750028683,63612100
2020-09-23,298.3130798339844,306.22765682115056,297.8137877286705,305.95025977750316,93112200
2020-09-24,299.1083068847656,302.1594777085532,295.68727323191223,297.0002185553226,76681300
2020-09-25,303.9440002441406,304.7298882709884,297.38858462452924,298.2576833289289,71069400
2020-09-28,308.9922790527344,309.70421136202526,307.106085914168,308.0954153354496,64584600
2020-09-29,307.3094787597656,309.52851442541044,306.616028350716,308.78884527571864,51304000
2020-09-30,309.6394348144531,312.7830704632652,307.7809790212787,307.9751372004484,104081100
2020-10-01,311.6273498535156,313.1991537202758,309.75041203082435,312.22833451482296,88698700
2020-10-02,308.6686096191406,311.59960544931795,306.21842407966096,306.68997933659404,89431100
2020-10-05,314.1422424316406,314.32714558258357,310.67499091510314,310.7212096486976,45713100
2020-10-06,309.676513671875,316.37064209992303,309.16799456037955,314.28103543468586,90128900
2020-10-07,315.0669250488281,315.87132309591203,312.5982289095894,312.6259658002967,56999600
2020-10-08,317.8591613769531,317.9238901844621,316.083915987055,316.99928967685366,45242500
2020-10-09,320.69769287109375,321.15999312657567,318.8854837702439,319.5049503113114,59528600
