Date,Close,High,Low,Open,Volume
2020-01-02,296.12530517578125,296.1435533670269,293.9923531023892,294.9129966046256,59151200
2020-01-03,293.8829650878906,295.0041439336054,292.688876931802,292.74356586892327,77709700
2020-01-06,295.004150390625,295.0861837981025,292.01434006994486,292.1328420420894,55653900
2020-01-07,294.1746826171875,294.91301114756425,293.7280191701127,294.4390032296372,40496400
2020-01-08,295.7424621582031,296.95477064555246,294.11995883928836,294.3660590478099,68296000
2020-01-09,297.7477722167969,297.820709338136,296.71775096243204,297.3011366636997,48473300
2020-01-10,296.8909912109375,298.48615024274386,296.4261352089056,298.33120751452185,53029300
2020-01-13,298.93280029296875,298.9418965712198,297.0824170116794,297.5108322451486,47086800
2020-01-14,298.47705078125,299.54351294484616,297.92100945963375,298.4952711557389,62832800
2020-01-15,299.15155029296875,299.90809914567166,298.30384393795646,298.38587734482564,72056600
2020-01-16,301.6400451660156,301.6400451660156,300.3001103883815,300.5279902633712,54050300
2020-01-17,302.578857421875,302.7884890679203,301.5761805798231,302.35097758583424,95846000
2020-01-21,301.9863586425781,302.7885001455664,301.5488471444855,301.62175645504635,77742400
2020-01-22,302.02288818359375,303.4904491427102,301.8679454358583,302.84325022550865,48914900
2020-01-23,302.369140625,302.77933537903976,300.2635335646252,301.3755880663374,51963000
2020-01-24,299.6802062988281,303.1075279519649,298.39496067890184,303.0254945486543,87578400
2020-01-27,294.87646484375,296.3531215152195,294.1107920443717,294.4480497017618,84062500
2020-01-28,297.966552734375,298.8416034600196,294.96764649476006,296.2984568633764,63834000
2020-01-29,297.7204284667969,299.55259115613137,297.5198931086739,299.32471133178075,53888900
2020-01-30,298.6866455078125,298.89630496665,294.91296997027223,295.6603946749964,75491800
2020-01-31,293.26318359375,298.221851981053,292.35166407869235,298.0668814238513,113845600
2020-02-03,295.44158935546875,297.30109625380913,294.6212276647578,294.73972960780577,69083000
2020-02-04,299.9445495605469,300.81050405404096,298.7231169921296,299.04215432222543,62573200
2020-02-05,303.4083251953125,303.6179846653886,301.41212336008243,302.870532103236,65951100
2020-02-06,304.4292297363281,304.6206410029242,303.35361580732535,304.3654167083422,50359700
2020-02-07,302.80670166015625,304.4383010658972,302.2597845544811,303.37183913632214,64139400
2020-02-10,305.0672302246094,305.13104324290214,301.8860372115477,301.92250576733755,42070000
2020-02-11,305.5959777832031,307.2002328793031,305.0672809970112,306.41633961218275,54864500
2020-02-12,307.5648498535156,307.77448148627434,306.6624268441835,307.02702899526753,43992700
2020-02-13,307.2366638183594,308.2028719590965,305.86938499837,306.14282963542433,54501900
2020-02-14,307.7289733886719,307.84747536853007,306.4528517159032,307.64693997585454,64582200
2020-02-18,306.9359130859375,307.79274347896046,305.550385905375,306.7353777212436,57226200
2020-02-19,308.4034423828125,309.07795777585227,307.61954912250815,307.90211788539574,48814700
2020-02-20,307.13641357421875,308.67688328776865,304.1557279094007,307.85649373249373,74163400
2020-02-21,303.9735412597656,306.0973695137125,303.15315143324005,305.78745621324725,113788200
2020-02-24,293.8921203613281,304.04643281297626,292.81650624331786,294.5484154937722,161088400
2020-02-25,284.9865417480469,295.8883062471929,284.11149089171784,295.2776038121276,218913200
2020-02-26,283.9382019042969,289.96332985080215,283.20899774544955,286.38106643552646,194773800
2020-02-27,271.1861267089844,283.9929622601153,271.1861267089844,278.43268874388383,284353500
2020-02-28,270.0466613769531,271.5324419822393,260.2751753707995,263.15557910658106,384975800
2020-03-02,281.74151611328125,281.80532914475464,268.40598340350584,271.8241810091955,238703600
